state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,temperature,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltMSL,gpsAltAGL,gpsVelocityN,gpsVelocityE,gpsVelocityD,epochTime,satellites,gpsLock,loopcount,timestamp,cx,cy,targetGpsLat,targetGpsLong,desiredServoPos1,actualServoPos1,desiredServoPos2,actualServoPos2,desiredServoPos3,actualServoPos3,desiredServoPos4,actualServoPos4,trajA,trajB,trajC,trajD
0,-0.07959,0.045898,-0.99707,-0.168007,-0.461143,0.621384,23962.40234,22003.17383,33752.44141,871.069336,0,1257.102051,-34089.39453,18148.83594,-61168.34766,-0.121163,0.084009,-0.007723,0.989041,0,0,0,0,0,0,329394784,-1069118528,1395193,-88,-77,11,1369612,1718896758,12,1,437831,12099461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.075684,0.051758,-0.998535,-0.030678,-0.316185,0.377243,24780.27344,21734.61914,34191.89453,871.069336,0,1257.102051,-33169.59766,17845.21289,-60682.10547,-0.12124,0.083995,-0.007755,0.989033,0,0,0,0,0,0,329394784,-1069118528,1395224,-45,-25,-2,1369642,1718896758,12,1,437832,12099486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0625,0.054199,-0.998047,-0.023048,-0.339073,0.16362,23797.60742,22344.9707,33959.96094,871.037842,0,1257.397949,-34274.03125,18542.99805,-60935.30469,-0.121271,0.083975,-0.007784,0.98903,0,0,0,0,0,0,329394784,-1069118528,1395224,-45,-25,-2,1369642,1718896758,12,1,437833,12099511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.051758,0.054688,-0.99707,0.106651,-0.430626,-0.149185,24212.64648,22619.62891,35235.59375,871.037842,0,1257.397949,-33802.79688,18873.25977,-59520.11328,-0.121238,0.083962,-0.007779,0.989035,0,0,0,0,0,0,329394784,-1069118528,1395220,36,-35,18,1369638,1718896758,12,1,437834,12099536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.046875,0.04834,-0.998535,0.129539,-0.697655,-0.004227,24725.3418,22705.07813,35137.9375,871.084717,0,1256.956665,-33229.08594,18967.94336,-59623.98438,-0.121242,0.084,-0.007759,0.989032,0,0,0,0,0,0,329394784,-1069118528,1395220,36,-35,18,1369638,1718896758,12,1,437835,12099561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0625,0.044922,-0.996582,0.068504,-0.804466,-0.675613,23992.91992,22753.90625,34643.55469,871.105469,0,1256.761108,-34052.71875,19019.32227,-60173.45703,-0.121102,0.084078,-0.007731,0.989043,0,0,0,0,0,0,329394784,-1069118528,1395230,45,-2,25,1369648,1718896758,12,1,437836,12099586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.094238,0.045898,-0.995117,0.228722,-0.75106,-0.431473,24755.85938,22625.73242,36151.125,871.105469,0,1256.761108,-33189.04688,18891.10742,-58505.70313,-0.121013,0.084169,-0.007672,0.989046,0,0,0,0,0,0,329394784,-1069118528,1395230,45,-2,25,1369648,1718896758,12,1,437837,12099611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.103027,0.04248,-0.99707,0.076134,-0.545067,-0.370438,24560.54688,22888.18359,35650.63281,871.080078,0,1257.001587,-33411.52734,19184.89063,-59056.02344,-0.120936,0.084228,-0.007648,0.989051,0,0,0,0,0,0,329394784,-1069118528,1395261,-21,-11,14,1369679,1718896758,12,1,437838,12099636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.103027,0.038086,-0.994629,0.182945,-0.354332,-0.011856,23858.64258,22204.58984,34973.14453,871.037842,0,1257.397949,-34199.59766,18396.2832,-59817.69922,-0.120941,0.084241,-0.007608,0.989049,0,0,0,0,0,0,329394784,-1069118528,1395261,-21,-11,14,1369679,1718896758,12,1,437839,12099661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.092773,0.03418,-0.996094,0.182945,-0.339073,0.28569,24407.95898,22351.07422,35681.15234,871.037842,0,1257.397949,-33580.60547,18571.74023,-59030.55859,-0.121015,0.08424,-0.007571,0.989041,0,0,0,0,0,0,329394784,-1069118528,1395296,-112,-115,-6,1369714,1718896758,12,1,437840,12099686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
